Site,LABNR,C14AGE,C14STD,Lat,Lon
O PRAZO,CSIC 1515,4703,43,41.07,-7.24
ALGAR DO BOM SANTO,Wk 27989*,4732,31,39.04,-9.02
FETEIRA,Sac 1563,4760,80,39.28,-9.27
MONTE DOS REMEDIOS,Ua 32669*,4725,40,42.27,-8.76
MOINHOS DE VENTO 1,ICEN 196,4720,40,40.24,-8.04
SÃO PEDRO DE ESTORIL 1,Beta 188390,4720,40,38.71,-9.37
MOURA- COVA DA,UBAR 539,4715,50,39.09,-9.24
MUI—OS- ANTA DOS,Ua 33808*,4710,40,42.75,-8.01
ALGAR DO BOM SANTO,Wk 27991*,4671,30,39.04,-9.02
POUSADA- PARCELA DE A,CSIC 1858,4669,34,42.84,-8.53
PALA DA VELLA,GrN 19395,4790,120,42.49,-6.84
LOS HUSOS I,I 5949,4730,100,42.59,-2.55
OLELAS,ICEN 878,4730,60,38.45,-9.15
AGUIAR- CASTELO DE,UGRA 179,4700,100,41.47,-7.64
MINA DA CARRASCA,UGRA ???,4700,100,40.38,-7.1
FRAGA D'AIA,Gif 8089,4710,80,41.06,-7.5
ALGAR DO BOM SANTO,OxA 5511*,4705,65,39.04,-9.02
ARRUDA- CABEÇO DE,Sac 1613,4700,80,39.06,-9.29
LOS HUSOS II,0,4670,40,42.6,-2.55
CHABOLA DE LA HECHICERA,Beta 288935,4670,40,42.57,-2.55
PORTO COVO,Beta 244819,4660,40,38.75,-9.42
AS PONTES,CSIC 1533,4656,41,43.36,-7.49
CHABOLA DE LA HECHICERA,Beta 288938,4650,40,42.57,-2.55
PORTO COVO,Beta 245133,4650,40,38.75,-9.42
AREIA- CABEÇO DA,Beta 196091,4650,40,38.78,-8.36
MIR”N- CUEVA DEL,GX 22131*,4680,60,43.25,-3.45
LOS HUSOS II,Beta 208847,4670,50,42.6,-2.55
SOBREIRA DE CIMA 3,Beta 231071*,4670,50,37.75,-7.82
MOCISSOS,KIA 30550*,4620,29,38.35,-8.06
CARRASCAL,Beta 225167,4640,40,38.77,-9.29
CADAVAL,Beta 189995*,4640,40,39.65,-8.41
RABUJE 5,Beta 191133,4650,50,39.09,-7.42
FLORIDABLANCA- CALLE,KIK 997/ UtC 7938*,4620,35,37.68,-1.7
MONTE DO CASTELO,ICEN 738,4630,45,38.72,-9.28
ESCOURAL- GRUTA DO,ICEN 861,4680,80,38.6,-8.24
PAPA UVAS,CSIC 1880,4613,33,37.27,-7.04
CHA DE PARADA 1,ICEN 173,4610,45,41.2,-8.01
COTOBASERO 2,I 16442,4690,90,43.18,-3.41
MARROQUIES BAJOS,Ua 34551*,4595,40,37.78,-3.79
ALGAR DO BARRAO,ICEN 740,4660,70,39.47,-8.72
VALENCINA DE LA CONCEPCION,UNK 1,4680,100,37.42,-6.08
ANTELAS,OxA 5433*,4655,60,40.71,-8.24
LECEIA,ICEN 1160,4630,60,38.73,-9.28
ALGAR DO BOM SANTO,OxA 5512*,4630,60,39.04,-9.02
CHA DE PARADA 1,Gif 7873,4635,100,41.2,-8.01
LA RASA 2,AA 29643*,4620,50,43.4,-3.91
CASTENAIRAS / CASTONAIRAS,GrN 4925,4610,50,40.83,-7.76
ORQUINHA DOS JUNCAIS,GrA 17167*,4620,60,40.82,-7.73
PEDRA BRANCA,ICEN 1040,4620,60,38.15,-8.67
PEDRAS GRANDES,Beta 205946,4590,40,38.81,-9.22
AMEAL VI,ICEN 908,4590,45,40.44,-7.95
CASTENAIRAS / CASTONAIRAS,OxA 7433*,4590,55,40.83,-7.76
MARMOTA 2,OxA 5535*,4600,55,39.43,-8.67
LAPA DA FURADA ,ICEN 1276,4610,60,38.43,-9.18
ESCOURAL- GRUTA DO,Lv 1923,4610,60,38.6,-8.24
MANDUBI-ZELAIA,0,4585,40,43.09,-2.25
LARRARTE,GrA 20304*,4590,50,43.28,-2.37
PORTO COVO,Beta 244818,4580,40,38.75,-9.42
SAN BLAS,Beta 178655,4570,40,38.55,-7.29
SAN JUAN ANTE PORTAM LATINAM,GrN 21772,4570,40,42.55,-2.56
ESTRADA DE ANSIAO,Sac 1559,4640,90,39.92,-8.44
MINA DAS AZENHAS,,4590,30,37.94,-7.62
GRUTA DOS OSSOS,ICEN 465,4630,80,39.66,-8.42
LARRENKE NORTE,I 14787,4600,100,42.68,-2.8
MOURA- CASA DA,OxA 5506*,4600,90,39.32,-9.27
LARRENKE NORTE,0,4590,100,42.68,-2.8
ALMENDRILLOS- CUESTA DE LOS,GrN 25302,4550,20,36.7,-4.84
ORCA DA PENELA 1,GrN 23064,4590,60,40.51,-8.02
CARAPITO 1,Hv 1783,4590,65,40.75,-7.47
CASTELO 1- MAMOA DO,Ua 19121*,4560,65,41.48,-7.4
MANDUBI-ZELAIA,GrN 26174,4560,50,43.09,-2.25
ABOGALHEIRA 1,KN 2955,4590,85,41.19,-8.04
FORNO DA TELHA,ICEN 734,4570,60,39.34,-8.97
MARIZULO,Ua 10374*,4585,80,43.22,-1.97
FETEIRA,TO 353*,4570,70,39.28,-9.27
COVA DAS LAPAS  / RIBEIRO DO PEDREIRO,ICEN 463,4550,60,39.61,-8.96
PRAIA DO FORTE NOVO,Sac 1637,4570,90,37.06,-8.09
IGREJA VELHA DE S√O JORGE,OxA 5443*,4540,60,37.95,-7.3
MADORRAS 1,OxA 5199*,4540,65,41.3,-7.61
PENA LARGA,0,4550,40,42.62,-2.51
KANPANOSTE GOIKOA,GrA 9790*,4550,40,42.76,-2.48
TERRERA VENTURA,KN 1795,4540,75,37.05,-2.4
